"filename", "language", "C#", "PlantUML", "Python", "XML", "comment", "blank", "total"
"c:\Users\Toan\OneDrive - Swinburne University\Documents\Swinburne_Course\COS20007-Object Oriented Programming\Chess\Board.cs", "C#", 68, 0, 0, 0, 10, 24, 102
"c:\Users\Toan\OneDrive - Swinburne University\Documents\Swinburne_Course\COS20007-Object Oriented Programming\Chess\BoardEvent.cs", "C#", 23, 0, 0, 0, 7, 5, 35
"c:\Users\Toan\OneDrive - Swinburne University\Documents\Swinburne_Course\COS20007-Object Oriented Programming\Chess\BoardRenderer.cs", "C#", 45, 0, 0, 0, 5, 7, 57
"c:\Users\Toan\OneDrive - Swinburne University\Documents\Swinburne_Course\COS20007-Object Oriented Programming\Chess\BoardSetupScreen.cs", "C#", 3, 0, 0, 0, 0, 0, 3
"c:\Users\Toan\OneDrive - Swinburne University\Documents\Swinburne_Course\COS20007-Object Oriented Programming\Chess\Button.cs", "C#", 12, 0, 0, 0, 0, 0, 12
"c:\Users\Toan\OneDrive - Swinburne University\Documents\Swinburne_Course\COS20007-Object Oriented Programming\Chess\CastleMove.cs", "C#", 2, 0, 0, 0, -1, 2, 3
"c:\Users\Toan\OneDrive - Swinburne University\Documents\Swinburne_Course\COS20007-Object Oriented Programming\Chess\Chess.csproj", "XML", 0, 0, 0, -7, 0, -2, -9
"c:\Users\Toan\OneDrive - Swinburne University\Documents\Swinburne_Course\COS20007-Object Oriented Programming\Chess\ChessApiBot.cs", "C#", 79, 0, 0, 0, 4, 13, 96
"c:\Users\Toan\OneDrive - Swinburne University\Documents\Swinburne_Course\COS20007-Object Oriented Programming\Chess\ChessBot.cs", "C#", -183, 0, 0, 0, -52, -50, -285
"c:\Users\Toan\OneDrive - Swinburne University\Documents\Swinburne_Course\COS20007-Object Oriented Programming\Chess\Chess_Core_Logic_UML.puml", "PlantUML", 0, 143, 0, 0, 6, 25, 174
"c:\Users\Toan\OneDrive - Swinburne University\Documents\Swinburne_Course\COS20007-Object Oriented Programming\Chess\Chess_Features_UML.puml", "PlantUML", 0, 173, 0, 0, 9, 30, 212
"c:\Users\Toan\OneDrive - Swinburne University\Documents\Swinburne_Course\COS20007-Object Oriented Programming\Chess\Chess_UI_States_UML.puml", "PlantUML", 0, 142, 0, 0, 6, 21, 169
"c:\Users\Toan\OneDrive - Swinburne University\Documents\Swinburne_Course\COS20007-Object Oriented Programming\Chess\Chess_UML.puml", "PlantUML", 0, 267, 0, 0, 11, 46, 324
"c:\Users\Toan\OneDrive - Swinburne University\Documents\Swinburne_Course\COS20007-Object Oriented Programming\Chess\DoublePawnMove.cs", "C#", -1, 0, 0, 0, 0, 0, -1
"c:\Users\Toan\OneDrive - Swinburne University\Documents\Swinburne_Course\COS20007-Object Oriented Programming\Chess\Game.cs", "C#", 1, 0, 0, 0, 0, 1, 2
"c:\Users\Toan\OneDrive - Swinburne University\Documents\Swinburne_Course\COS20007-Object Oriented Programming\Chess\GameplayScreen.cs", "C#", 117, 0, 0, 0, 17, 30, 164
"c:\Users\Toan\OneDrive - Swinburne University\Documents\Swinburne_Course\COS20007-Object Oriented Programming\Chess\IBot.cs", "C#", 10, 0, 0, 0, 0, 1, 11
"c:\Users\Toan\OneDrive - Swinburne University\Documents\Swinburne_Course\COS20007-Object Oriented Programming\Chess\IVariantStrategy.cs", "C#", 0, 0, 0, 0, 0, -1, -1
"c:\Users\Toan\OneDrive - Swinburne University\Documents\Swinburne_Course\COS20007-Object Oriented Programming\Chess\King.cs", "C#", 53, 0, 0, 0, 4, 2, 59
"c:\Users\Toan\OneDrive - Swinburne University\Documents\Swinburne_Course\COS20007-Object Oriented Programming\Chess\Knight.cs", "C#", 0, 0, 0, 0, 0, 1, 1
"c:\Users\Toan\OneDrive - Swinburne University\Documents\Swinburne_Course\COS20007-Object Oriented Programming\Chess\MatchState.cs", "C#", -1, 0, 0, 0, 0, -2, -3
"c:\Users\Toan\OneDrive - Swinburne University\Documents\Swinburne_Course\COS20007-Object Oriented Programming\Chess\NetworkChessManager.cs", "C#", 187, 0, 0, 0, 1, 33, 221
"c:\Users\Toan\OneDrive - Swinburne University\Documents\Swinburne_Course\COS20007-Object Oriented Programming\Chess\NetworkSelectionScreen.cs", "C#", 108, 0, 0, 0, 2, 16, 126
"c:\Users\Toan\OneDrive - Swinburne University\Documents\Swinburne_Course\COS20007-Object Oriented Programming\Chess\Piece.cs", "C#", 2, 0, 0, 0, 0, 1, 3
"c:\Users\Toan\OneDrive - Swinburne University\Documents\Swinburne_Course\COS20007-Object Oriented Programming\Chess\PieceFactory.cs", "C#", 2, 0, 0, 0, 0, 0, 2
"c:\Users\Toan\OneDrive - Swinburne University\Documents\Swinburne_Course\COS20007-Object Oriented Programming\Chess\Position.cs", "C#", 7, 0, 0, 0, 2, 3, 12
"c:\Users\Toan\OneDrive - Swinburne University\Documents\Swinburne_Course\COS20007-Object Oriented Programming\Chess\PromotionMove.cs", "C#", 2, 0, 0, 0, 0, 0, 2
"c:\Users\Toan\OneDrive - Swinburne University\Documents\Swinburne_Course\COS20007-Object Oriented Programming\Chess\StockfishBot.cs", "C#", 151, 0, 0, 0, 7, 22, 180
"c:\Users\Toan\OneDrive - Swinburne University\Documents\Swinburne_Course\COS20007-Object Oriented Programming\Chess\TimeSelectionState.cs", "C#", 4, 0, 0, 0, 0, 0, 4
"c:\Users\Toan\OneDrive - Swinburne University\Documents\Swinburne_Course\COS20007-Object Oriented Programming\Chess\VariantSelectionScreen.cs", "C#", 0, 0, 0, 0, 0, -1, -1
"c:\Users\Toan\OneDrive - Swinburne University\Documents\Swinburne_Course\COS20007-Object Oriented Programming\Chess\chess_api_client.py", "Python", 0, 0, 156, 0, 21, 40, 217
"Total", "-", 691, 725, 156, -7, 59, 267, 1891